,gameDate,possessionTeam,defensiveTeam,defensiveTeamQt,ballCarrierDisplayName,heightInCm,weightInKg,position,ballCarrierAge,quarter,down,gameClock,gameClockInSeconds,yardsToGo,preSnapHomeScore,preSnapVisitorScore,signedScoreDiff,absoluteYardlineNumber,offenseFormation,offenseFormationQt,defendersInTheBox,prePenaltyPlayResult,playNullifiedByPenalty,playResult
39,10/16/2022,MIN,MIA,20,Dalvin Cook,177.8,95.25,RB,27.0,1,1,7:59,479,10,0,0,0,104,I_FORM,2,8.0,1,N,1
40,10/16/2022,NO,CIN,7,Taysom Hill,188.0,100.24,TE,32.0,3,2,12:59,779,5,20,14,6,67,WILDCAT,7,5.0,0,N,0
41,09/11/2022,ATL,NO,23,Drake London,195.6,95.25,WR,,2,1,0:23,23,10,13,7,6,71,SHOTGUN,5,5.0,31,N,31
42,10/16/2022,ARI,SEA,28,Zach Ertz,195.6,113.4,TE,31.0,4,1,6:40,400,10,19,9,-10,17,SHOTGUN,5,5.0,7,N,7
43,10/23/2022,LV,HOU,13,Ameer Abdullah,175.3,92.08,RB,29.0,1,3,3:20,200,21,3,0,3,92,SHOTGUN,5,4.0,5,N,5
44,10/06/2022,IND,DEN,10,Phillip Lindsay,172.7,86.18,RB,28.0,4,1,8:27,507,5,9,6,-3,76,SINGLEBACK,6,6.0,-2,N,-2
45,10/23/2022,DET,DAL,9,Brock Wright,193.0,115.67,TE,,4,1,9:52,592,10,10,6,-4,89,EMPTY,1,6.0,23,N,23
46,10/24/2022,NE,CHI,6,Rhamondre Stevenson,182.9,111.58,RB,,4,1,3:44,224,10,14,33,-19,68,SHOTGUN,5,4.0,1,N,1
47,10/03/2022,LA,SF,29,Matthew Stafford,190.5,99.79,QB,34.0,2,2,10:53,653,3,7,3,-4,68,I_FORM,2,6.0,2,N,2
48,09/11/2022,PHI,DET,11,A.J. Brown,182.9,102.51,WR,25.0,1,1,2:13,133,10,7,0,-7,65,SHOTGUN,5,6.0,18,N,18
49,11/06/2022,SEA,ARI,1,Kenneth Walker,177.8,95.25,RB,,2,1,12:42,762,2,7,3,-4,108,JUMBO,3,10.0,-2,N,-2
50,10/09/2022,PHI,ARI,1,DeVonta Smith,185.4,74.84,WR,,1,3,1:39,99,12,0,7,7,99,SHOTGUN,5,6.0,22,N,22
51,09/18/2022,ARI,LV,19,Kyler Murray,177.8,93.89,QB,25.0,4,4,2:28,148,1,23,15,-8,53,I_FORM,2,8.0,2,N,2
52,09/11/2022,NYG,TEN,31,Richie James,175.3,83.91,WR,27.0,4,3,12:23,743,5,20,13,-7,49,SHOTGUN,5,6.0,6,N,6
53,10/30/2022,ATL,CAR,5,Kyle Pitts,198.1,113.4,TE,,2,1,12:54,774,10,0,3,-3,68,PISTOL,4,7.0,26,N,26
54,09/19/2022,PHI,MIN,21,Jalen Hurts,188.0,98.88,QB,24.0,2,3,2:09,129,2,14,7,7,36,PISTOL,4,6.0,26,N,26
55,10/16/2022,SEA,ARI,1,Kenneth Walker,177.8,95.25,RB,,3,1,6:35,395,10,9,3,6,78,PISTOL,4,7.0,21,N,21
56,09/11/2022,CIN,PIT,27,Joe Mixon,185.4,99.79,RB,26.0,2,4,1:16,76,1,3,17,-14,75,I_FORM,2,8.0,31,N,31
57,09/25/2022,IND,KC,16,Jonathan Taylor,180.3,100.24,RB,23.0,3,2,7:26,446,3,10,17,-7,78,SINGLEBACK,6,7.0,5,N,5
58,10/23/2022,DET,DAL,9,Brock Wright,193.0,115.67,TE,,2,1,10:04,604,10,3,3,0,41,SHOTGUN,5,7.0,6,N,6
59,10/23/2022,CIN,ATL,2,Joe Mixon,185.4,99.79,RB,26.0,1,1,9:30,570,10,7,0,7,70,SHOTGUN,5,6.0,5,N,5
60,09/18/2022,GB,CHI,6,A.J. Dillon,185.4,113.4,RB,24.0,4,1,5:50,350,10,24,10,14,97,SHOTGUN,5,7.0,-1,N,-1
61,09/11/2022,BAL,NYJ,25,Kenyan Drake,185.4,95.71,RB,28.0,1,1,4:56,296,10,0,0,0,97,PISTOL,4,8.0,-1,N,-1
62,09/25/2022,NO,CAR,5,Adam Trautman,198.1,114.76,TE,25.0,4,1,14:05,845,10,13,0,-13,64,SHOTGUN,5,6.0,9,N,9
63,10/09/2022,TEN,WAS,32,Ryan Tannehill,193.0,93.89,QB,34.0,4,1,0:06,6,10,17,21,4,11,JUMBO,3,9.0,2,N,2
64,09/15/2022,KC,LAC,18,Justin Watson,190.5,97.52,WR,26.0,3,3,7:28,448,10,7,17,-10,51,SHOTGUN,5,5.0,41,N,41
65,09/11/2022,ATL,NO,23,Cordarrelle Patterson,188.0,107.95,RB,31.0,2,2,9:32,572,4,10,7,3,83,PISTOL,4,6.0,5,N,5
66,09/11/2022,TEN,NYG,24,Geoff Swaim,193.0,117.93,TE,28.0,2,2,7:50,470,6,10,0,10,103,SINGLEBACK,6,7.0,2,N,2
67,10/13/2022,WAS,CHI,6,Terry McLaurin,182.9,95.25,WR,27.0,2,3,9:50,590,5,0,0,0,104,SHOTGUN,5,6.0,17,N,17
68,10/23/2022,CLE,BAL,3,David Njoku,193.0,111.58,TE,26.0,3,3,4:47,287,2,20,10,-10,81,SHOTGUN,5,7.0,3,N,3
69,10/30/2022,SF,LA,17,Christian McCaffrey,180.3,92.99,RB,26.0,4,1,12:51,771,10,14,17,3,85,SHOTGUN,5,8.0,24,N,24
70,10/27/2022,TB,BAL,3,Ko Kieft,195.6,120.2,TE,,1,1,9:42,582,10,0,3,-3,71,SHOTGUN,5,7.0,9,N,9
71,09/11/2022,JAX,WAS,32,Travis Etienne,177.8,90.72,RB,,2,2,11:41,701,10,14,3,-11,35,SHOTGUN,5,6.0,5,N,5
72,10/16/2022,JAX,IND,14,Jamal Agnew,177.8,86.18,WR,27.0,1,1,5:58,358,10,0,0,0,30,PISTOL,4,7.0,19,N,19
73,09/22/2022,CLE,PIT,27,Nick Chubb,180.3,102.06,RB,26.0,4,1,1:46,106,10,23,17,6,64,SINGLEBACK,6,8.0,3,N,3
74,10/23/2022,IND,TEN,31,Parris Campbell,182.9,92.99,WR,25.0,1,1,10:53,653,10,0,0,0,43,SINGLEBACK,6,7.0,4,N,4
75,10/30/2022,DEN,JAX,15,Jerry Jeudy,185.4,87.09,WR,23.0,2,1,8:09,489,10,10,0,-10,72,SHOTGUN,5,7.0,8,N,8
76,10/02/2022,PHI,JAX,15,Miles Sanders,180.3,95.71,RB,25.0,2,1,6:36,396,10,7,14,-7,48,SHOTGUN,5,7.0,5,N,5
77,09/22/2022,CLE,PIT,27,Nick Chubb,180.3,102.06,RB,26.0,4,1,7:12,432,10,23,14,9,60,SINGLEBACK,6,8.0,3,N,3
78,09/11/2022,MIA,NE,22,Mike Gesicki,198.1,114.31,TE,26.0,3,2,1:07,67,6,17,7,10,42,SINGLEBACK,6,6.0,1,N,1
79,11/06/2022,KC,TEN,31,Jerick McKinnon,175.3,92.99,RB,30.0,3,1,6:14,374,10,9,17,-8,41,SHOTGUN,5,6.0,2,N,2
80,09/11/2022,CHI,SF,29,Justin Fields,190.5,101.15,QB,,4,1,9:03,543,10,13,10,3,21,SHOTGUN,5,7.0,-1,N,-1
81,09/25/2022,ARI,LA,17,Kyler Murray,177.8,93.89,QB,25.0,4,1,4:21,261,10,9,20,-11,48,SHOTGUN,5,5.0,2,N,2
82,10/23/2022,NYG,JAX,15,Saquon Barkley,180.3,105.69,RB,25.0,4,3,1:11,71,10,17,20,3,30,I_FORM,2,8.0,4,N,4
83,09/12/2022,SEA,DEN,10,Rashaad Penny,180.3,99.79,RB,26.0,1,2,12:19,739,6,0,0,0,68,SINGLEBACK,6,7.0,4,N,4
84,10/02/2022,HOU,LAC,18,Dameon Pierce,177.8,97.52,RB,,3,1,13:27,807,10,7,27,-20,37,I_FORM,2,7.0,8,N,8
85,09/11/2022,PIT,CIN,7,Chase Claypool,193.0,102.97,WR,24.0,2,2,10:18,618,7,3,10,7,17,SHOTGUN,5,7.0,4,N,4
86,10/17/2022,DEN,LAC,18,Latavius Murray,190.5,104.33,RB,32.0,3,1,7:50,470,10,13,13,0,75,SHOTGUN,5,6.0,6,N,6
87,09/18/2022,CLE,NYJ,25,Jacoby Brissett,193.0,106.59,QB,29.0,1,2,7:39,459,7,0,0,0,30,SINGLEBACK,6,7.0,4,N,4
88,09/18/2022,CAR,NYG,24,D'Onta Foreman,185.4,105.69,RB,26.0,2,1,7:35,455,10,6,3,-3,49,I_FORM,2,7.0,7,N,7
89,10/09/2022,ARI,PHI,26,Marquise Brown,175.3,77.11,WR,25.0,2,3,5:33,333,3,0,14,-14,35,EMPTY,1,6.0,25,N,25
90,10/06/2022,DEN,IND,14,Courtland Sutton,193.0,97.98,WR,26.0,4,1,2:27,147,10,9,6,3,91,SINGLEBACK,6,7.0,5,N,5
91,09/25/2022,KC,IND,14,Travis Kelce,195.6,117.93,TE,32.0,1,3,1:20,80,7,7,0,-7,42,SHOTGUN,5,6.0,29,N,29
92,09/18/2022,ARI,LV,19,Greg Dortch,170.2,78.47,WR,24.0,3,1,11:05,665,15,20,0,-20,26,SHOTGUN,5,6.0,29,N,29
93,09/25/2022,MIN,DET,11,Dalvin Cook,177.8,95.25,RB,27.0,3,1,6:43,403,10,14,17,-3,58,SINGLEBACK,6,6.0,7,N,7
94,10/30/2022,DET,MIA,20,D'Andre Swift,177.8,95.71,RB,23.0,3,3,6:07,367,27,27,24,3,31,SHOTGUN,5,4.0,2,N,2
95,10/10/2022,KC,LV,19,Clyde Edwards-Helaire,172.7,94.8,RB,23.0,3,1,13:18,798,10,10,20,-10,56,SHOTGUN,5,6.0,2,N,2
96,10/02/2022,ATL,CLE,8,Tyler Allgeier,180.3,99.79,RB,,4,1,15:00,900,10,10,13,-3,73,PISTOL,4,7.0,7,N,7
97,10/09/2022,DAL,LA,17,Ezekiel Elliott,182.9,103.42,RB,27.0,1,3,4:10,250,1,3,9,6,44,I_FORM,2,7.0,9,N,9
98,10/30/2022,JAX,DEN,10,Travis Etienne,177.8,90.72,RB,,3,1,13:42,822,10,10,7,3,53,SINGLEBACK,6,7.0,5,N,5
99,09/18/2022,NO,TB,30,Dwayne Washington,185.4,101.15,RB,28.0,1,1,4:21,261,10,3,0,3,85,SINGLEBACK,6,8.0,3,N,3
100,10/16/2022,CAR,LA,17,Christian McCaffrey,180.3,92.99,RB,26.0,1,1,4:57,297,10,0,3,3,23,I_FORM,2,8.0,8,N,8
101,09/11/2022,DET,PHI,26,Amon-Ra St. Brown,185.4,88.45,WR,,3,2,1:09,69,6,21,38,-17,39,SINGLEBACK,6,6.0,29,N,29
102,10/16/2022,LA,CAR,5,Allen Robinson,188.0,99.79,WR,29.0,3,1,1:06,66,10,10,10,0,49,SINGLEBACK,6,7.0,22,N,22
103,10/30/2022,JAX,DEN,10,Travis Etienne,177.8,90.72,RB,,4,1,9:33,573,10,10,14,-4,54,SINGLEBACK,6,7.0,2,N,2
104,10/23/2022,DET,DAL,9,Justin Jackson,182.9,90.72,RB,26.0,3,1,10:18,618,10,10,6,-4,35,SINGLEBACK,6,7.0,-7,Y,5
105,09/22/2022,CLE,PIT,27,David Njoku,193.0,111.58,TE,26.0,1,3,5:31,331,9,0,0,0,69,EMPTY,1,6.0,8,N,8
106,10/23/2022,GB,WAS,32,Aaron Jones,175.3,94.35,RB,27.0,1,3,1:10,70,13,3,7,4,32,SHOTGUN,5,5.0,7,N,7
107,10/09/2022,CAR,SF,29,Christian McCaffrey,180.3,92.99,RB,26.0,1,3,10:59,659,1,0,7,-7,35,SINGLEBACK,6,8.0,0,N,0
108,10/30/2022,JAX,DEN,10,Travis Etienne,177.8,90.72,RB,,3,1,4:52,292,10,10,14,-4,40,SINGLEBACK,6,6.0,9,N,9
109,10/23/2022,KC,SF,29,Travis Kelce,195.6,117.93,TE,33.0,3,2,7:04,424,4,16,21,5,79,EMPTY,1,6.0,18,N,18
110,09/25/2022,BUF,MIA,20,James Cook,180.3,86.18,RB,,3,1,10:51,651,10,14,14,0,41,SHOTGUN,5,6.0,8,N,8
111,10/16/2022,NYJ,GB,12,C.J. Uzomah,198.1,117.93,TE,29.0,1,1,4:40,280,10,0,0,0,95,SINGLEBACK,6,7.0,3,N,3
112,10/16/2022,CLE,NE,22,Nick Chubb,180.3,102.06,RB,26.0,2,1,8:39,519,10,3,3,0,58,SINGLEBACK,6,7.0,3,N,3
113,10/23/2022,TB,CAR,5,Leonard Fournette,182.9,103.42,RB,27.0,3,2,13:19,799,3,7,0,-7,45,SHOTGUN,5,6.0,5,N,5
114,11/06/2022,GB,DET,11,Josiah Deguara,190.5,108.86,TE,25.0,4,1,10:05,605,10,15,6,-9,76,SINGLEBACK,6,7.0,6,N,6
115,10/30/2022,MIN,ARI,1,K.J. Osborn,182.9,90.72,WR,25.0,1,1,4:36,276,10,7,3,4,64,SHOTGUN,5,5.0,3,N,3
116,09/26/2022,NYG,DAL,9,Sterling Shepard,177.8,91.17,WR,29.0,4,1,1:45,105,10,16,23,-7,101,SHOTGUN,5,6.0,12,N,12
117,10/02/2022,KC,TB,30,Clyde Edwards-Helaire,172.7,94.8,RB,23.0,4,3,1:48,108,7,31,41,10,71,SINGLEBACK,6,8.0,9,Y,-10
118,10/09/2022,LAC,CLE,8,Austin Ekeler,177.8,90.72,RB,27.0,2,1,8:37,517,10,14,10,-4,72,SHOTGUN,5,7.0,15,N,15
119,10/09/2022,PIT,BUF,4,Najee Harris,188.0,104.33,RB,,2,1,0:56,56,10,31,3,-28,83,SHOTGUN,5,5.0,5,N,5
120,10/02/2022,BAL,BUF,4,J.K. Dobbins,177.8,97.07,RB,23.0,4,2,5:41,341,1,20,20,0,109,JUMBO,3,11.0,-3,N,-3
121,10/09/2022,SEA,NO,23,Kenneth Walker,177.8,95.25,RB,,4,1,5:22,322,10,39,32,-7,85,SINGLEBACK,6,6.0,6,N,6
122,09/25/2022,NE,BAL,3,Rhamondre Stevenson,182.9,111.58,RB,,2,1,6:35,395,5,3,7,-4,105,SHOTGUN,5,7.0,2,N,2
123,10/16/2022,DAL,PHI,26,Ezekiel Elliott,182.9,103.42,RB,27.0,2,3,0:49,49,1,20,0,-20,89,SHOTGUN,5,6.0,9,N,9
124,09/11/2022,MIA,NE,22,Cedrick Wilson,195.6,85.28,WR,27.0,4,2,12:41,761,10,20,7,13,20,I_FORM,2,7.0,8,N,8
125,10/16/2022,PIT,TB,30,Chase Claypool,193.0,102.97,WR,24.0,1,1,12:53,773,10,0,0,0,57,SHOTGUN,5,6.0,14,N,14
126,09/18/2022,CHI,GB,12,David Montgomery,177.8,100.7,RB,25.0,4,2,9:15,555,8,24,10,-14,102,SINGLEBACK,6,7.0,2,N,2
127,10/06/2022,IND,DEN,10,Nyheim Hines,175.3,89.81,RB,25.0,1,3,14:13,853,7,0,0,0,82,SHOTGUN,5,5.0,5,N,5
128,09/11/2022,TEN,NYG,24,Kyle Philips,180.3,86.64,WR,,4,2,0:45,45,7,20,21,-1,77,SHOTGUN,5,6.0,3,N,3
129,09/11/2022,IND,HOU,13,Nyheim Hines,175.3,89.81,RB,25.0,4,2,11:45,705,4,20,3,-17,97,EMPTY,1,5.0,9,N,9
130,10/09/2022,CLE,LAC,18,Kareem Hunt,180.3,97.98,RB,27.0,3,1,2:26,146,10,21,27,-6,26,SINGLEBACK,6,6.0,5,N,5
131,10/30/2022,CHI,DAL,9,David Montgomery,177.8,100.7,RB,25.0,3,3,5:17,317,16,35,23,-12,29,SHOTGUN,5,6.0,13,N,-19
132,10/16/2022,PIT,TB,30,George Pickens,190.5,90.72,WR,,1,1,14:02,842,10,0,0,0,44,SHOTGUN,5,6.0,8,N,8
133,09/18/2022,WAS,DET,11,Antonio Gibson,188.0,100.24,RB,24.0,3,1,10:59,659,10,22,7,-15,65,SINGLEBACK,6,6.0,8,N,8
134,10/02/2022,JAX,PHI,26,James Robinson,177.8,99.79,RB,24.0,1,1,5:59,359,10,0,7,7,35,SHOTGUN,5,6.0,5,N,5
135,10/06/2022,IND,DEN,10,Deon Jackson,182.9,99.79,RB,,4,1,12:38,758,10,9,6,-3,48,SINGLEBACK,6,7.0,1,N,1
136,09/19/2022,MIN,PHI,26,Dalvin Cook,177.8,95.25,RB,27.0,4,2,3:28,208,3,24,7,-17,92,SHOTGUN,5,6.0,4,N,4
137,09/18/2022,NE,PIT,27,Damien Harris,180.3,97.52,RB,25.0,3,1,3:58,238,10,6,10,4,100,SHOTGUN,5,7.0,3,N,3
138,10/24/2022,NE,CHI,6,Rhamondre Stevenson,182.9,111.58,RB,,1,3,7:14,434,10,0,3,-3,31,SHOTGUN,5,7.0,5,N,5
139,10/30/2022,SF,LA,17,Ray-Ray McCloud,175.3,86.18,WR,26.0,2,2,6:07,367,15,14,7,-7,41,SHOTGUN,5,4.0,11,N,26
140,10/02/2022,HOU,LAC,18,Dameon Pierce,177.8,97.52,RB,,1,1,11:53,713,10,0,7,-7,38,SINGLEBACK,6,8.0,9,N,9
141,10/02/2022,CAR,ARI,1,Christian McCaffrey,180.3,92.99,RB,26.0,1,2,12:16,736,4,0,0,0,46,SINGLEBACK,6,7.0,3,N,3
142,10/02/2022,NO,MIN,21,Latavius Murray,190.5,104.33,RB,32.0,3,1,8:08,488,10,7,16,-9,67,SINGLEBACK,6,7.0,10,N,10
143,10/16/2022,CAR,LA,17,Christian McCaffrey,180.3,92.99,RB,26.0,4,3,6:52,412,19,24,10,-14,78,SHOTGUN,5,6.0,3,N,3
144,10/09/2022,CAR,SF,29,Terrace Marshall,193.0,90.72,WR,,4,1,2:25,145,10,15,37,-22,71,SHOTGUN,5,6.0,12,N,12
145,10/17/2022,DEN,LAC,18,Latavius Murray,190.5,104.33,RB,32.0,3,2,9:03,543,10,13,13,0,85,SINGLEBACK,6,6.0,5,N,5
146,09/11/2022,TB,DAL,9,Breshad Perriman,188.0,97.52,WR,29.0,4,3,3:04,184,4,3,19,16,62,SINGLEBACK,6,7.0,-7,N,-7
147,09/18/2022,BAL,MIA,20,Isaiah Likely,193.0,108.86,TE,,3,2,7:48,468,10,28,14,14,35,SHOTGUN,5,6.0,3,N,3
148,10/03/2022,LA,SF,29,Brandon Powell,172.7,85.73,WR,27.0,2,1,7:56,476,10,7,3,-4,30,SINGLEBACK,6,7.0,11,N,11
149,09/18/2022,LV,ARI,1,Josh Jacobs,177.8,99.79,RB,24.0,1,1,7:01,421,6,0,0,0,104,I_FORM,2,8.0,2,N,2
150,09/18/2022,HOU,DEN,10,Dameon Pierce,177.8,97.52,RB,,2,2,12:20,740,2,3,3,0,38,SHOTGUN,5,6.0,4,N,4
151,10/30/2022,WAS,IND,14,Antonio Gibson,188.0,100.24,RB,24.0,2,2,11:45,705,2,3,0,-3,21,SHOTGUN,5,7.0,2,N,2
152,10/02/2022,GB,NE,22,Aaron Jones,175.3,94.35,RB,27.0,4,2,3:44,224,10,24,24,0,53,SHOTGUN,5,7.0,4,N,4
153,09/11/2022,NO,ATL,2,Taysom Hill,188.0,100.24,TE,32.0,1,2,5:51,351,10,3,0,-3,21,SHOTGUN,5,7.0,11,N,11
154,10/09/2022,DET,NE,22,Josh Reynolds,190.5,88.9,WR,27.0,1,1,8:47,527,10,3,0,-3,85,SINGLEBACK,6,7.0,22,N,22
155,09/25/2022,DEN,SF,29,Melvin Gordon,185.4,97.52,RB,29.0,3,1,6:46,406,10,5,7,-2,57,SINGLEBACK,6,7.0,6,N,6
156,10/09/2022,ATL,TB,30,Olamide Zaccheaus,172.7,87.54,WR,25.0,4,1,4:43,283,10,21,7,-14,29,SHOTGUN,5,6.0,19,N,19
157,10/30/2022,ARI,MIN,21,Rondale Moore,175.3,81.65,WR,,3,1,15:00,900,10,14,10,-4,35,SHOTGUN,5,6.0,2,Y,-10
158,11/06/2022,ARI,SEA,28,Eno Benjamin,177.8,95.25,RB,23.0,4,2,5:49,349,10,14,24,-10,64,SHOTGUN,5,6.0,5,N,5
159,09/25/2022,SEA,ATL,2,Marquise Goodwin,175.3,81.19,WR,31.0,2,4,4:39,279,2,10,17,-7,51,EMPTY,1,6.0,23,N,23
160,09/11/2022,GB,MIN,21,Randall Cobb,177.8,87.09,WR,32.0,1,3,4:03,243,4,7,0,-7,58,EMPTY,1,5.0,6,N,6
161,10/23/2022,JAX,NYG,24,Travis Etienne,177.8,90.72,RB,,3,2,13:15,795,2,11,13,-2,13,SINGLEBACK,6,9.0,1,N,1
162,10/16/2022,MIN,MIA,20,Adam Thielen,188.0,90.72,WR,32.0,2,1,5:43,343,10,3,0,-3,49,I_FORM,2,7.0,11,N,11
163,09/25/2022,CHI,HOU,13,Khalil Herbert,175.3,96.16,RB,,4,1,2:58,178,10,20,20,0,41,SINGLEBACK,6,6.0,2,N,2
164,09/11/2022,DAL,TB,30,Ezekiel Elliott,182.9,103.42,RB,27.0,1,2,11:40,700,4,0,0,0,57,SINGLEBACK,6,7.0,5,N,5
165,10/20/2022,NO,ARI,1,Alvin Kamara,177.8,97.52,RB,27.0,1,1,4:12,252,10,3,7,4,32,SINGLEBACK,6,8.0,10,N,10
